"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1119659844762513408","","","2019-04-20 17:51:23 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KevinLevin: Virginia governor Northam is calling for the removal of the Jefferson Davis Memorial Park arch at Fort Monroe. #CivilWarMem…","1119319860591382528","14512716","2019-04-19 19:20:25 +0000","https://www.wric.com/news/local-news/gov-northam-wants-confederate-arch-gone-from-us-fort/1939132467"
"1119274370336268289","","","2019-04-19 16:19:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @arthistory4all: #TGIF! Was super excited to see that one of the profs from my grad alma mater @UVA, Dr. Carmenita Higginbotham, is on t…","1119250030496321536","955649600953597960","2019-04-19 14:42:56 +0000","https://twitter.com/arthistory4all/status/1119250030496321536/photo/1"
"1119018038043586564","1119018012756123650","821814593349685248","2019-04-18 23:21:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2/ More #Shockoe and #ShockoeAlliace-relevant images... https://t.co/mOTPUWh6Wz","","","","https://twitter.com/jgg3mb/status/1119018038043586564/photo/1,https://twitter.com/jgg3mb/status/1119018038043586564/photo/1"
"1119018012756123650","","","2019-04-18 23:20:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1/ THREAD Spent some time today thinking back on Monday's #ShockoeAlliance meeting  https://t.co/fbHed2IQ0P. Posting some relevant images for now... #ProtectSacredGround #SaveShockoe #ShockoeBottomMatters #ImagineNewMonuments #TruthfulHistoryHeals https://t.co/BUKhfUpsRz","","","","http://richmondvirginiamayor.blogspot.com/2019/04/shockoe-alliance-to-hold-first.html?m=1,https://twitter.com/jgg3mb/status/1119018012756123650/photo/1,https://twitter.com/jgg3mb/status/1119018012756123650/photo/1,https://twitter.com/jgg3mb/status/1119018012756123650/photo/1,https://twitter.com/jgg3mb/status/1119018012756123650/photo/1"
"1118250033823006723","","","2019-04-16 20:29:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FRAFGroup: Conference posters on the wall: must be official then! April 27th, New Cabell 236, see link below for panel and keynote sche…","1117971592464732160","1021406861340422144","2019-04-16 02:02:53 +0000","https://pvi.virginia.edu/fr-af-interdisciplinary-conference-schedule/,https://twitter.com/FRAFGroup/status/1117971592464732160/photo/1"
"1118195876831408131","","","2019-04-16 16:54:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @slaats: This might be of interest to a few people. @saggiotipo @jgg3mb  https://t.co/fWSU734Xf6","1118192731329847297","15181032","2019-04-16 16:41:36 +0000","https://www.arch.virginia.edu/events/bryan-c-lee-jr-sue-mobley,https://www.arch.virginia.edu/events/bryan-c-lee-jr-sue-mobley"
"1118195785735254016","","","2019-04-16 16:53:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Looking forward to this event @UVA on 04.22.19, 5PM. Colloqate Design has been a big influence on a collaboration between the Monuments Working Group and the Sacred Ground Historical Reclamation Project in #Richmond. Thanks @slaats for posting! https://t.co/rJjtvwFj42","","","","https://www.arch.virginia.edu/events/bryan-c-lee-jr-sue-mobley"
"1117959619459133440","","","2019-04-16 01:15:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @diggingellen: Del. @DeloresMcquinn discusses Shockoe’s history through five E’s: Enslavement, Emancipation, Education, Enlightenment, E…","1117916679235829760","14755254","2019-04-15 22:24:40 +0000","https://twitter.com/diggingellen/status/1117916679235829760/photo/1"
"1117959441800994816","","","2019-04-16 01:14:36 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @diggingellen: Packed house tonight at the first public #ShockoeAlliance meeting at #MainStStation #rva! Mayor Stoney discussing the mem…","1117913701795782656","14755254","2019-04-15 22:12:50 +0000","https://twitter.com/diggingellen/status/1117913701795782656/photo/1"
"1117894866074132480","","","2019-04-15 20:58:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#PublicHumanities conversation and reception @UVA on April 25th! Of interest to  @UVa_IHGC @samwisewallace @samuellemley @CFHoward1 @gsasuva @lisa_goff @UVA_GHSA https://t.co/UWhC5d65iW","","","","https://twitter.com/LadyMedieval/status/1117891527655583744"
"1117792312162168833","1117792309846904836","821814593349685248","2019-04-15 14:10:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4/ #ShockoeAlliance meeting tonight (4/15) of interest to (and pls RT first message in thread, above) @bhm_va @theValentineRVA  @LibraryofVA @RichmondForAll @NewVAMajority @PeaceCenter_RVA  @JusticeforMDP @RichmondHillVa2 @justice4rva @eastendcemetery  @FriendsEastEnd","","","",""
"1117792307145781248","1117792305879105537","821814593349685248","2019-04-15 14:10:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2/ #ShockoeAlliance meeting tonight (4/15) https://t.co/jW4FoVoB1j of interest to (and pls RT first message in thread, above) @RVAdirt @rvanews @RVAHappenings","","","","http://bit.ly/shockoe-small-area-plan"
"1117792309846904836","1117792307145781248","821814593349685248","2019-04-15 14:10:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","3/ #ShockoeAlliance meeting tonight (4/15) https://t.co/jW4FoVoB1j of interest to (and pls RT first message in thread, above) @untoldrva @ElegbaFolklore @ChelseaWiseRVA @RaceCapitol @CheatsMovement @PhilWilayto1 @lkbeldon @HistoryGonWrong @NoahScalin","","","","http://bit.ly/shockoe-small-area-plan"
"1117792305879105537","","","2019-04-15 14:10:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1/ THREAD Tonight (4/15) is the first open meeting of the #ShockoeAlliance in #Richmond. If you're interested in the history and legacies of slavery in #Richmond then attend this meeting! 6 PM, Main Street Station, 1500 E. Main St. Learn more at https://t.co/jW4FoVoB1j","","","","http://bit.ly/shockoe-small-area-plan"
"1117241698214658048","","","2019-04-14 01:42:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Participated in the #FreeShockoe 10K in #Richmond today! Follow the link to express your interest in a shirt featuring Gabriel breaking chains in #Virginia. Proceeds support the Sacred Ground Historical Reclamation Project in #RVA. https://t.co/dT77cIIZfQ https://t.co/maLCDEIn2N","","","","https://www.monumentsworkinggroup.com/shockoe-shirts,https://twitter.com/jgg3mb/status/1117241698214658048/photo/1"
"1117239598055346177","","","2019-04-14 01:34:12 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Southern Poverty Law Center launches digital initiative to promote honest discussion of Confederate history
https://t.co/ccSlGFvh23","","","","https://www.splcenter.org/news/2019/04/09/splc-launches-digital-initiative-promote-honest-discussion-confederate-history"
"1115249183924084737","","","2019-04-08 13:45:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PaperMonuments: Posters graphics from Richmond, VA tell the story of Gabriel, an enslaved blacksmith and freedom fighter, and honor the…","1115247297217138690","881533030787141633","2019-04-08 13:37:30 +0000","https://twitter.com/PaperMonuments/status/1115247297217138690/photo/1,https://twitter.com/PaperMonuments/status/1115247297217138690/photo/1"
"1115249098410594305","1115247297217138690","881533030787141633","2019-04-08 13:44:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PaperMonuments And thanks to you, @PaperMonuments! Design credit for the poster goes to @MendedArrow in #Richmond. You can learn more at: https://t.co/ITrT9BVJVs.","","","","https://www.monumentsworkinggroup.com/gabriel"
"1115069831655641089","","","2019-04-08 01:52:19 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Found my way to this tonight via the JUEL website @NotesontheState: https://t.co/E7Em3eMyNu. Looking forward to Query 2! https://t.co/3jwmQJ2RgE","","","","https://at.virginia.edu/2CXNew7,https://twitter.com/jgg3mb/status/1115069831655641089/photo/1"
"1114871068156678144","","","2019-04-07 12:42:30 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Check out the photo journal/ archive of the #MonumentsWorkingGroup. Images pertain to ongoing research, collaborations with community groups, and excursions to relevant sites in Charlottesville and #Richmond. Almost 1,000 images strong! https://t.co/Mgt9pxHIMv https://t.co/GPIwD1M2E4","","","","https://www.monumentsworkinggroup.com/photo-journal,https://twitter.com/jgg3mb/status/1114871068156678144/photo/1"
"1114686998080573441","","","2019-04-07 00:31:04 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ACLUVA: ICYMI: Norfolk city is suing the state to remove its Confederate monument, 

Local communities that no longer wish to harbor th…","1114535829777649665","357634573","2019-04-06 14:30:23 +0000","https://www.wavy.com/news/local-news/norfolk/norfolk-hopes-to-move-confederate-monument-by-having-state-law-ruled-unconstitutional/1901393533"
